ticker,name,market,locale,active,source_feed,type
I:DJSINV,Dow Jones U.S. Select Investment Services Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSINVT,Dow Jones U.S. Select Investment Services Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSMDQ,Dow Jones U.S. Select Medical Equipment Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSMDQT,Dow Jones U.S. Select Medical Equipment Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSOES,Dow Jones U.S. Select Oil Equipment & Services Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSOEST,Dow Jones U.S. Select Oil Equipment & Services Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSOEP,Dow Jones U.S. Select Oil Exploration & Production Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSOEPT,Dow Jones U.S. Select Oil Exploration & Production Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSPHM,Dow Jones U.S. Select Pharmaceuticals Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSPHMT,Dow Jones U.S. Select Pharmaceuticals Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DWRSF,Dow Jones U.S. Select Real Estate Securities Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSRBK,Dow Jones U.S. Select Regional Banks Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSRBKT,Dow Jones U.S. Select Regional Banks Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DWRTF,Dow Jones U.S. Select REIT Index (USD),indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DWRTFT,Dow Jones U.S. Select REIT Total Return Index (USD),indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSTEL,Dow Jones U.S. Select Telecommunications Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJSTELT,Dow Jones U.S. Select Telecommunications Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSSC,Dow Jones U.S. Semiconductors Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSSCT,Dow Jones U.S. Semiconductors Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJTSSV,Dow Jones U.S. Short Relative Value Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Style
I:DJUSGS,Dow Jones U.S. Small-Cap Growth Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Style
I:DJUSS,Dow Jones U.S. Small-Cap Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Size
